BOOK,CATEGORY
"Welcome to Deep Learning for Natural Language Processing. Natural language processing is the
area of study dedicated to the automatic manipulation of speech and text by software. It is
an old field of study, originally dominated by rule-based methods designed by linguists, then
statistical methods, and, more recently, deep learning methods that show great promise in the
field. So much so that the heart of the Google Translate service uses a deep learning method, a
topic that you will learn more about in this book.
I designed this book to teach you step-by-step how to bring modern deep learning models to
your own natural language processing projects.",deep learning
"Natural Language Processing Natural Language Processing, or NLP for short, is broadly defined as the automatic manipulation of natural language, like speech and text, by software. The study of natural language processing has been around for more than 50 years and grew out of the field of linguistics with the rise of computers. In this chapter, you will discover what natural language processing is and why it is so important. After reading this chapter, you will know:  What natural language is and how it is different from other types of data.  What makes working with natural language so challenging.  Where the field of NLP came from and how it is defined by modern practitioners. Let’s get started. 1.1 Natural Language Natural language refers to the way we, humans, communicate with each other. Namely, speech and text. We are surrounded by text. Think about how much text you see each day:  Signs  Menus  Email  SMS  Web Pages  and so much more... The list is endless. Now think about speech. We may speak to each other, as a species, more than we write. It may even be easier to learn to speak than to write. Voice and text are how we communicate with each other. Given the importance of this type of data, we must have methods to understand and reason about natural language, just like we do for other types of data.",natural language processing
" mapping features to numerical vectors
I scikit-learn’s learning methods works with features as
numbers, not strings
I they can’t directly use the feature dicts we have stored in X
I converting from string to numbers is the purpose of these lines:
vec = DictVectorizer()
Xe = vec.fit_transform(X)",machine learning
"Reinforcement Learning  
Learning to Optimize Rewards  
Policy Search  
Introduction to OpenAI Gym  
Neural Network Policies  
Evaluating Actions: The Credit Assignment Problem  
Policy Gradients  
Markov Decision Processes  
Temporal Difference Learning and Q-Learning  
Exploration Policies  
Approximate Q-Learning  
Learning to Play Ms. Pac-Man Using Deep Q-Learning ",machine learning
" Recurrent Neural Networks
Recurrent Neurons
Memory Cells 
Input and Output Sequences 
Basic RNNs in TensorFlow 
Static Unrolling Through Time  
Dynamic Unrolling Through Time  
Handling Variable Length Input Sequences  
Handling Variable-Length Output Sequences  
Training RNNs  
Training a Sequence Classifier 
Training to Predict Time Series 
Creative RNN 
Deep RNNs ",deep learning
" The Machine Learning Landscape
When most people hear “Machine Learning,” they picture a robot: a dependable butler or a deadly
Terminator depending on who you ask. But Machine Learning is not just a futuristic fantasy, it’s already
here. In fact, it has been around for decades in some specialized applications, such as Optical Character
Recognition (OCR). But the first MLapplication that really became mainstream, improving the lives of
hundreds of millions of people, took over the world back in the 1990s: it was the spam filter. Not exactly
a self-aware Skynet, but it does technically qualify as Machine Learning (it has actually learned so well
that you seldom need to flag an email as spam anymore). It was followed by hundreds of MLapplications
that now quietly power hundreds of products and features that you use regularly, from better
recommendations to voice search.
Where does Machine Learning start and where does it end? What exactly does it mean for a machine to
learn something? If I download a copy of Wikipedia, has my computer really “learned” something? Is it
suddenly smarter? In this chapter we will start by clarifying what Machine Learning is and why you may
want to use it.
Then, before we set out to explore the Machine Learning continent, we will take a look at the map and
learn about the main regions and the most notable landmarks: supervised versus unsupervised learning,
online versus batch learning, instance-based versus model-based learning. Then we will look at the
workflow of a typical MLproject, discuss the main challenges you may face, and cover how to evaluate
and fine-tune a Machine Learning system.
This chapter introduces a lot of fundamental concepts (and jargon) that every data scientist should know
by heart. It will be a high-level overview (the only chapter without much code), all rather simple, but you
should make sure everything is crystal-clear to you before continuing to the rest of the book. So grab a
coffee and let’s get started!",machine learning
"Machine Learning is the science (and art) of programming computers so they can learn from data.
Here is a slightly more general definition:
[Machine Learning is the] field of study that gives computers the ability to learn without being
explicitly programmed.
Arthur Samuel, 1959
And a more engineering-oriented one:
A computer program is said to learn from experience E with respect to some task T and some
performance measure P, if its performance on T, as measured by P, improves with experience E.
Tom Mitchell, 1997
For example, your spam filter is a Machine Learning program that can learn to flag spam given examples
of spam emails (e.g., flagged by users) and examples of regular (nonspam, also called “ham”) emails. The
examples that the system uses to learn are called the training set. Each training example is called a
training instance (or sample). In this case, the task T is to flag spam for new emails, the experience E is
the training data, and the performance measure P needs to be defined; for example, you can use the ratio
of correctly classified emails. This particular performance measure is called accuracy and it is often
used in classification tasks.
If you just download a copy of Wikipedia, your computer has a lot more data, but it is not suddenly better
at any task. Thus, it is not Machine Learning",machine learning
"Types of Machine Learning Systems
There are so many different types of Machine Learning systems that it is useful to classify them in broad
categories based on:
Whether or not they are trained with human supervision (supervised, unsupervised, semisupervised,
and Reinforcement Learning)
Whether or not they can learn incrementally on the fly (online versus batch learning)
Whether they work by simply comparing new data points to known data points, or instead detect
patterns in the training data and build a predictive model, much like scientists do (instance-based
versus model-based learning)
These criteria are not exclusive; you can combine them in any way you like. For example, a state-of-theart spam filter may learn on the fly using a deep neural network model trained using examples of spam and
ham; this makes it an online, model-based, supervised learning system.
Let’s look at each of these criteria a bit more closely.",machine learning
"Machine learning explores 
the study and construction of 
algorithms that can learn 
from and make predictions 
on data. Such algorithms 
operate by building a model 
from example inputs in order 
to make data-driven 
predictions or decisions…. 
Machine learning is closely 
related to computational 
statistics; a discipline that 
aims at the design of 
algorithms for implementing 
statistical methods on 
computers ",machine learning
"Mastering OpenCV 4 with Python will give you the knowledge to build projects
involving Open Source Computer Vision Library (OpenCV) and Python.
These two technologies (the first one is a programming language, while the
second one is a computer vision and machine learning library) will be
introduced. Also, you will learn why the combination of OpenCV and Python
has the potential to build every kind of computer application. Finally, an
introduction about the main concepts related to the content of this book will be
provided.
In this chapter, you will be given step-by-step instructions to install everything
you need to start programming with Python and OpenCV. This first chapter is
quite long, but do not worry, because it is divided into easily assimilated
sections, starting with general terminology and concepts, which assumes that the
reader is new to this information. At the end of this chapter, you will be able to
build your first project involving Python and OpenCV.
The following topics will be covered in this chapter:
A theoretical introduction to the OpenCV library
Installing Python OpenCV and other packages
Running samples, documentation, help, and updates
Python and OpenCV project structure
First Python and OpenCV project",Python OpenCV
"Face detection
Face detection, which can be defined as the task of determining the location and
size of faces in digital images, is usually the first key step when building face
processing applications (for example, facial expression recognition, drowsiness
detection, gender classification, face recognition, head-pose estimation, or
human-computer interaction). This is because the aforementioned applications
requires as an input the location and size of the detected faces. Therefore,
automatic face detection plays a critical role, and is one of the most studied
topics in the artificial intelligence community.
Face detection seems like an effortless task for a human, but it is a very
challenging task for computers because many problems/challenges are usually
involved (for example, appearance variations, scale, rotation, facial expressions,
occlusion, or lighting condition). Face detection has made impressive progress
after the work proposed by Viola and Jones (https://docs.opencv.org/4.0.1/d7/d8b/tut
orial_py_face_detection.html). In this section, we will see some of the most popular
face detection techniques that the OpenCV library and the dlib and face_processing
packages provide, including the aforementioned Viola and Jones algorithm, and
other machine learning and deep learning approaches.",Python OpenCV
"Face detection with OpenCV
OpenCV provides two approaches for face detection:
Haar cascade based face detectors
Deep learning-based face detectors
The framework proposed by Viola and Jones (see Rapid Object Detection Using
a Boosted Cascade of Simple Features (2001)) is an effective object detection
method. This framework is very popular because OpenCV provides face
detection algorithms based on this framework. Additionally, this framework can
also be used for detecting other objects rather than faces (for example, full body
detector, plate number detector, upper body detector, or cat face detector). In this
section, we will see how to detect faces using this framework.
The face_detection_opencv_haar.py script performs face detection using haar featurebased cascade classifiers. In this sense, OpenCV provides four cascade
classifiers to use for (frontal) face detection:",Python OpenCV
"Face detection with dlib
You can use dlib.get_frontal_face_detector() to create a frontal face detector, which
is based on Histogram of Oriented Gradients (HOG) features and a linear
classifier in a sliding window detection approach. In particular, the HOG trainer
uses a structural SVM-based training algorithm that enables the trainer to train in
all the sub-windows in every training image",Python OpenCV
"Detecting facial landmarks
In computer vision, the localization of the fiducial facial key points (also called
facial landmarks) is usually a key step in a lot of facial analysis methods and
algorithms. Facial expression recognition, head pose estimation algorithms, and
drowsiness detection systems are only a few examples, relying heavily on the
facial shape information provided by the detection of facial landmarks.
A facial landmark detection algorithm aims to automatically identify the
locations of the facial landmark points in images or videos. More specifically,
those key points are either the dominant points that describe the unique location
of a facial component (for example, corners of mouth or eyes) or an interpolated
point that connects those dominant points around the facial components and
facial contour. Formally, given a facial image denoted as I, a landmark detection
algorithm detects the locations of D landmarks x = {x1, y1, x2, y2, ..., xD, yD},
where x and y represent the image coordinates of the facial landmarks. In this
section, we are going to see how to detect facial landmarks using both OpenCV
and dlib.",Python OpenCV
"Face tracking
Object tracking tries to estimate the trajectory of the target throughout the video
sequence where only the initial location of a target is known. This task is really
challenging on account of several factors, such as appearance
variations, occlusions, fast motion, motion blur, and scale variations.
In this sense, discriminative correlation filter (DCF)-based visual trackers
provide state-of-the-art performance. Additionally, these trackers are
computationally efficient, which is critical in real-time applications. Indeed, the
state-of-the-art performance of DCF-based trackers can be seen in the results of
the visual object tracking (VOT) 2014 Challenge. In the VOT2014 Challenge,
the top three trackers are based on correlation filters.",Python OpenCV
"bject tracking with the dlib DCFbased tracker
The face_tracking_correlation_filters.py script can be modified to track an arbitrary
object. In this case, we will use the mouse to select the object to track. If we
press 1, the algorithm will start tracking the object inside the pre-defined
bounding box. Additionally, if we press 2, the pre-defined bounding box will be
emptied and the tracking algorithm will be stopped, allowing the user to select
another bounding box.
To clarify how the face_tracking_correlation_filters.py script works, we have
included the next two screenshots. In the first one, we can see that we need to
select a bounding box to start the tracking:",Python OpenCV
"Face recognition
With the development of computer vision, machine learning, and deep learning,
face recognition has become a hot topic. Face recognition can be applied to a
wide range of uses, including crime prevention, surveillance, forensic
applications, biometrics, and, more recently, in social networks. Automatic face
recognition has various challenges, such as occlusions, appearance variations,
expression, aging, and scale variations. Following its success with object
recognition, CNNs have been widely used for face recognition.
In this chapter, we will see the functionality that OpenCV offers in connection
with face recognition, and will also explore some deep learning approaches,
which can be easily integrated into your computer vision projects to perform
state-of-the-art face recognition results.",Python OpenCV
"Face recognition with dlib
Dlib offers a high-quality face recognition algorithm based on deep learning.
Dlib implements a face recognition algorithm that offers state-of-the-art
accuracy. More specifically, the model has an accuracy of 99.38% on the labeled
faces in the wild database.
The implementation of this algorithm is based on the ResNet-34 network
proposed in the paper Deep Residual Learning for Image Recognition (2016),
which was trained using three million faces. T",Python OpenCV
" FACE RECOGNITION SYSTEM 
DESIGN 
Once a Pcore containing the description of the 
hardware accelerator for facial recognition has been 
generated with Vivado-HLS, the next step is the 
design of a hardware platform incorporating it as 
peripheral and the development of a software 
application which makes use of it. ",Python OpenCV
" FACE RECOGNITION SYSTEM 
EVALUATION 
To validate the developed system and to evaluate its 
performance, different tests have been carried out. 
Specifically, two types of tests have been made, one 
with an all-software recognition system, which does 
not include hardware accelerator, and the other with 
the system that includes the hardware accelerator. 
The three implementations of the hardware 
accelerator described in Section 2 have been tested to 
experimentally evaluate how optimizations affect the 
final result. 
We have used two image databases containing 
images of different sizes in order to check the 
acceleration in relation to the size of the matrices to 
be multiplied. One database is the AT&T face 
databases [Att02] (resolution of 92×112 pixels). In 
AT&T database there are 10 grayscale images for 
each of the 40 individuals who compose it. ",Python OpenCV
"Detection of patterns in images using classifiers is one of the most promising topics of research
in the field of computer vision. A large number of practical applications for face detection exist 
and contemporary work even suggests that any specialized detectors can be approximated by 
using fast detection classifiers. In this project, I have developed an algorithm which will detect 
face from the input image with less false detection rate using combined effects of computer 
vision concepts. This algorithm utilizes the concept of recognizing skin color, detecting edges
and extracting different features from face. The result is supported by the statistics obtained 
from calculating the parameters defining the parts of the face. The project also implements the 
highly powerful concept of Support Vector Machine that is used for the classification of images 
into face and non-face class. This classification is based on the training data set and indicators 
of luminance value, chrominance value, saturation value, elliptical value and nose, eye & mouth 
map values",Python OpenCV
"Edge detection
In the edge detection phase, edges of the object from the images are detected using a 
particular threshold value. Using the Gaussian filter the noise from the images is 
filtered out. The next step would involve calculating the intensity gradient of the 
image. This would help eliminate the varying lighting condition. Then the 
morphological operators like elation and dilation are applied which reduces the noise 
from the background image. The non-suppression is applied which helps in removing 
the points that are not part of the edge.
The most important step of this phase is to detect the edge of the objects. So 
depending upon the threshold pixel the edges are accepted or rejected. The value of 
the threshold is selected based on the average of the tested training data set of 
image.",Python OpenCV
"Django bills itself as “the Web framework for perfectionists with deadlines.” It
originated in the early 2000s, created by Web developers at the online presence of the Lawrence Journal-World newspaper, which introduced it to the
world in 2005 as a way of “developing code with journalism deadlines.” We’ll
put ourselves on a deadline and see how fast we can produce a very simple
blog by using Django, and later do the same with Google App Engine.
(You’ll have to work on your perfectionist side on your own.) Although
we’re going to blast through this example, we’ll still give you enough in the
way of explanation so that you know what’s going on. However, if you
would like to explore a full treatment of this exact example, you’ll find it in
Chapter 2 of Python Web Development with Django (Addison-Wesley, 2009),
written by my esteemed colleagues, Jeff Forcier (lead developer of Fabric)
and Paul Bissex (creator of dpaste), plus yours truly.",Web development
"Installing Django
There are several ways of installing Django on your system, which are
listed here in increasing order of effort and/or complexity:
• Python package manager
• Operating system package manager
• Standard release tarball
• Source code repository
The simplest download and installation process takes advantage of
Python package management tools like easy_install from Setuptools
(http://packages.python.org/distribute/easy_install.html) or pip (http://
pip.openplans.org), both of which are available for all platforms. For Windows users with Setuptools, the easy_install.exe file should be installed
in the Scripts folder in which your Python distribution is located. You
only need to issue a single command; this is the command you would use
from a DOS Command window:",Web development
" Creating a Project in Django
Django comes with a utility called django-admin.py that can streamline
tasks such as the creation of the aforementioned project directories. On
POSIX platforms, it will usually be installed into directories such as /usr/
local/bin, /usr/bin, etc.; if you’re on a Windows-based computer, it goes
into the Scripts folder, which is directly in your Python installation folder,
e.g., C:\Python27\Scripts. For either POSIX computers or Windows computers, you should make sure that django-admin.py is in your PATH environment variable so that it can be executed from the command-line (unless
you like calling interpreters by using full pathnames).
For Windows computers, you will likely have to manually add
c:\python27 and c:\python27\scripts to your system PATH variable for
everything to work well (or whatever directory you installed Python in).
You do this by opening the Control Panel and then clicking System, or you
can right-click My Computer, and then choose Properties. From here,
select the Advanced tab, and then click the Environment Variables button.
You can choose to edit the PATH entry either for a single user (the top
listbox) or for all users (the bottom listbox), and then add ;c:\python27;c:\
python27\scripts after any text in the Variable value textbox. Some of
what you see appears in Figure 11-1.
Once your PATH is set (on either type of platform), you should be able
to run python and get an interactive interpreter and Django’s djangoadmin.py command to see its usage. You can test this by opening up a Unix
shell or DOS Command window and issuing those command names.
Once you’ve confirmed that everything is working, we can proceed.
The next step is to go to a directory or folder in which you want to place
your code. To create the project in the current working directory, issue the
following command (we’ll use a generic project name such as mysite, but
you can call it anything you wish):",Web development
"Using MySQL
With your (empty) database in place, all that remains is to instruct Django
on how to use it. This is where your project’s settings.py file comes in
(again). There are six potentially relevant settings here (though you might
need only two): ENGINE, NAME, HOST, PORT, USER, and PASSWORD. Their names
render their respective purposes pretty obvious. Just plug in the correct
values corresponding to the database server you’ll be using with Django.",Web development
"Using SQLite
SQLite is a popular choice for testing. It’s even a good candidate for
deployment in scenarios for which there isn’t a great deal of simultaneous
writing going on. No host, port, user, or password information is needed
because SQLite uses the local file system for storage and the native file
system permissions for access control—you can also choose a pure in-memory database. This is why our DATABASES configuration in settings.py
shown in the following code only has ENGINE and NAME when directing
Django to use your SQLite database.",Web development
" Creating the Tables
Now we need to instruct Django to use the connection information you’ve
given it to connect to the database and set up the tables that your application needs. You’ll use manage.py and its syncdb command, as demonstrated in the following sample execution",Web development
"The Django Administration App
The automatic back-end administration application, or admin for short, has
been described as Django’s crown jewel. For anyone who has tired of creating simple CRUD interfaces for Web applications, it’s a godsend. Admin
is an app that every Web site needs. Why? Well, you might want to confirm your app’s ability to insert a new record as well as update or delete it.
You understand that, but if your app hasn’t been completed yet, that
makes this a bit more difficult. The admin app solves this problem for you
by giving developers the ability to validate their data manipulation code
before the full UI has been completed",Web development
"in this chapter, we will cover the following topics:
Working with a virtual environment
Creating a project file structure
Handling project dependencies with pip
Including external dependencies in your project
Defining relative paths in the settings
Setting up STATIC_URL dynamically for Subversion users
Setting up STATIC_URL dynamically for Git users
Creating and including local settings
Setting UTF-8 as the default encoding for MySQL configuration
Setting the Subversion ignore property
Creating a Git ignore file
Deleting Python-compiled files
Importing order in Python files
Defining overwritable app settings",Web development
"In this chapter, we will cover the following topics:
Using model mixins
Creating a model mixin with URL-related methods
Creating a model mixin to handle creation and modification dates
Creating a model mixin to take care of meta tags
Creating a model mixin to handle generic relations
Handling multilingual fields
Using South migrations
Changing a foreign key to the many-to-many field with South",Web development
"Forms and Views
Passing HttpRequest to the form
Utilizing the save method of tfhe form
Uploading images
Creating a form layout with django-crispy-forms
Filtering object lists
Managing paginated lists
Composing class-based views
Generating PDF documents",Web development
"Creating your first project
Now with the software we need in place, the time has come for the fun part–creating 
our first Django project!
If you recall from the Django installation section, we used a command called 
django-admin.py to test our installation. This utility is the heart of Django's project 
management facilities, as it enables the user to do a range of project management 
tasks, including these:
• Creating a new project
• Creating and managing the project's database
• Validating the current project and testing for errors
• Starting the development web server
We will see how to use some of these tasks in the rest of this chapter",Web development
"Flask is a Python web application micro-framework built on top of the Werkzeug WSGI library.
Flask may be ""micro"", but it’s ready for production use on a variety of needs.
The ""micro"" in micro-framework means Flask aims to keep the core simple but extensible. Flask
won’t make many decisions for you, such as what database to use, and the decisions that it does
make are easy to change. Everything is up to you, so that Flask can be everything you need and
nothing you don't.
The community supports a rich ecosystem of extensions to make your application more powerful
and even easier to develop. As your project grows you are free to make the design decisions
appropriate for your requirements",Web development
"What is Flask?
Flask is a web application framework written in Python. It is developed by Armin Ronacher, 
who leads an international group of Python enthusiasts named Pocco. Flask is based on the 
Werkzeug WSGI toolkit and Jinja2 template engine. Both are Pocco projects.
WSGI
Web Server Gateway Interface (WSGI) has been adopted as a standard for Python web 
application development. WSGI is a specification for a universal interface between the web 
server and the web applications. 
Werkzeug
It is a WSGI toolkit, which implements requests, response objects, and other utility functions. 
This enables building a web framework on top of it. The Flask framework uses Werkzeug as 
one of its bases.
Jinga2
Jinga2 is a popular templating engine for Python. A web templating system combines a 
template with a certain data source to render dynamic web pages.
Flask is often referred to as a micro framework. It aims to keep the core of an application 
simple yet extensible. Flask does not have built-in abstraction layer for database handling, 
nor does it have form a validation support. Instead, Flask supports the extensions to add such 
functionality to the application. Some of the popular Flask extensions are discussed later in 
the tutorial",Web development
"Creating Your 
First Flask Application
Flask is fun. This bold declaration is one of the first things you see when you view 
the official Flask documentation and, over the course of this book, you will come to 
understand why so many Python developers agree.
In this chapter we shall:
• Briefly discuss the features of the Flask framework
• Set up a development environment and install Flask
• Implement a minimal Flask app and analyze how it works
• Experiment with commonly used APIs and the interactive debugger
• Start working on the blog project that will be progressively enhanced over 
the course of the book
What is Flask?
Flask is a lightweight Web framework written in Python. Flask started out as 
an April fool's joke that became a highly popular underdog in the Python web 
framework world. It is now one of the most widely used Python web frameworks 
for start-ups, and is becoming commonly accepted as the perfect tool for quick and 
simple solutions in most businesses. At its core, it provides a set of powerful libraries 
for handling the most common web development tasks, such as:
• URL routing that makes it easy to map URLs to your code
• Template rendering with Jinja2, one of the most powerful Python 
template engines",Web development
"Python review
Introduction
Python is the programming language which can be used for various purposes e.g. web design, mathematical
modeling, creating documents and game designs etc. In this chapter, we will review some of the basic features of
Python. Then, from next chapter we will write some good coding styles with advance features of Python.",Programming
" Pythonic Thinking
The idioms of a programming language are defined by its users. Over the years, the
Python community has come to use the adjective Pythonic to describe code that follows a
particular style. The Pythonic style isn’t regimented or enforced by the compiler. It has
emerged over time through experience using the language and working with others.
Python programmers prefer to be explicit, to choose simple over complex, and to
maximize readability (type import this).
Programmers familiar with other languages may try to write Python as if it’s C++, Java, or
whatever they know best. New programmers may still be getting comfortable with the vast
range of concepts expressible in Python. It’s important for everyone to know the best—the
Pythonic—way to do the most common things in Python. These patterns will affect every
program you write.",Programming
"The Python Environment
Starting Python  
Using the interpreter  
Running a Python script  
Python scripts on Unix/Windows
Editors and IDEs  ",Programming
"The beginning of the modern Python programming started in December of
1989. The creator of this program was Guido van Rossum who began
programming as more of a hobby. At the time, van Rossum was working on a
project with the Dutch CWI research institute, that was later terminated. Van
Rossum was able to use some of the basics of this new language, known as the
ABC language, in order to work on Python.
The main strength of this language is that it is really easy to extend upon to
make more complex, or keep simple, and it was able to support multiple
platforms. Both of these were important during the days when personal
computers were becoming popular. And since Python was designed to
communicate with different file formats and libraries, it became a hit as well.
Python has grown quite a bit since its inception and more tools have been
added to make the programing more functioning.",Programming
"Python is a great program to use whether you are a beginner in the
programming world or you have been into it for some time. Many of those who
are just looking at getting started with programming will jump right in with
Python and make it their own. It is simple to understand and can be used by
anyone who is ready to get started with coding. This chapter is going to take
some time to explain some of the positives, as well as some of the drawbacks,
of using Python for your programming language",Programming
"he Pythonic Productivity Techniques section is another great resource. It covers aspects beyond the Python programming language,
and also includes tips on how to debug your programs, how to manage
the dependencies, and gives you a peek inside Python bytecode.
It truly is an honor and my pleasure to introduce this book, Python
Tricks, by my friend, Dan Bader.
By contributing to Python as a CPython core developer, I get connected to many members of the community. In my journey, I found
mentors, allies, and made many new friends. They remind me that
Python is not just about the code, Python is a community.
Mastering Python programming isn’t just about grasping the theoretical aspects of the language. It’s just as much about understanding and
adopting the conventions and best practices used by its community",Programming
" What’s a Python Trick?
Python Trick: A short Python code snippet meant as a
teaching tool. A Python Trick either teaches an aspect of
Python with a simple illustration, or it serves as a motivating example, enabling you to dig deeper and develop
an intuitive understanding.
Python Tricks started out as a short series of code screenshots that I
shared on Twitter for a week. To my surprise, they got rave responses
and were shared and retweeted for days on end.
More and more developers started asking me for a way to “get the
whole series.” Actually, I only had a few of these tricks lined up, spanning a variety of Python-related topics. There wasn’t a master plan
behind them. They were just a fun little Twitter experiment.
But from these inquiries I got the sense that my short-and-sweet code
examples would be worth exploring as a teaching tool. Eventually I set
out to create a few more Python Tricks and shared them in an email
series. Within a few days, several hundred Python developers had
signed up and I was just blown away by that response",Programming
